windspeed,Vestas.V80.2000
3.95,0.052168
3.96,0.053054
3.97,0.053173
3.98,0.053679
3.99,0.054187
4,0.054698
4.01,0.055211
4.02,0.055727
4.03,0.056644
4.04,0.057167
4.05,0.05729
4.06,0.057815
4.07,0.058343
4.08,0.058874
4.09,0.059408
4.1,0.059943
4.11,0.060482
4.12,0.06144
4.13,0.061566
4.14,0.062112
4.15,0.06266
4.16,0.063211
4.17,0.063765
4.18,0.064321
4.19,0.06488
4.2,0.065875
4.21,0.066004
4.22,0.067009
4.23,0.067579
4.24,0.067711
4.25,0.068285
4.26,0.068861
4.27,0.06944
4.28,0.070473
4.29,0.071059
4.3,0.071648
4.31,0.071782
4.32,0.072374
4.33,0.072968
4.34,0.073565
4.35,0.074165
4.36,0.074766
4.37,0.075842
4.38,0.076452
4.39,0.076589
4.4,0.077202
4.41,0.077817
4.42,0.078434
4.43,0.079054
4.44,0.079678
4.45,0.080791
4.46,0.081421
4.47,0.081563
4.48,0.082196
4.49,0.082831
4.5,0.083471
4.51,0.084112
4.52,0.084756
4.53,0.085907
4.54,0.086558
4.55,0.086703
4.56,0.087357
4.57,0.088014
4.58,0.088673
4.59,0.089336
4.6,0.09
4.61,0.090668
4.62,0.091338
4.63,0.09201
4.64,0.093214
4.65,0.093893
4.66,0.094044
4.67,0.094727
4.68,0.095412
4.69,0.0961
4.7,0.097333
4.71,0.098029
4.72,0.098728
4.73,0.09888
4.74,0.099582
4.75,0.100286
4.76,0.100993
4.77,0.101701
4.78,0.102414
4.79,0.10369
4.8,0.104409
4.81,0.104565
4.82,0.105288
4.83,0.106012
4.84,0.106739
4.85,0.107469
4.86,0.108203
4.87,0.109517
4.88,0.110257
4.89,0.110417
4.9,0.11116
4.91,0.111906
4.92,0.112654
4.93,0.113405
4.94,0.114159
4.95,0.115511
4.96,0.115673
4.97,0.116435
4.98,0.117198
4.99,0.117965
5,0.118734
5.01,0.119505
5.02,0.120279
5.03,0.121056
5.04,0.121835
5.05,0.123236
5.06,0.124021
5.07,0.124811
5.08,0.124978
5.09,0.12577
5.1,0.126564
5.11,0.127361
5.12,0.128795
5.13,0.129598
5.14,0.129767
5.15,0.130574
5.16,0.131384
5.17,0.132196
5.18,0.13301
5.19,0.133827
5.2,0.134647
5.21,0.136122
5.22,0.136949
5.23,0.137778
5.24,0.13795
5.25,0.138781
5.26,0.139616
5.27,0.140453
5.28,0.14196
5.29,0.142134
5.3,0.142978
5.31,0.143824
5.32,0.144673
5.33,0.145524
5.34,0.146378
5.35,0.147233
5.36,0.148093
5.37,0.149641
5.38,0.150506
5.39,0.150682
5.4,0.15155
5.41,0.15242
5.42,0.153293
5.43,0.154168
5.44,0.155045
5.45,0.155925
5.46,0.156807
5.47,0.158399
5.48,0.159287
5.49,0.160179
5.5,0.160357
5.51,0.16125
5.52,0.162145
5.53,0.163764
5.54,0.164666
5.55,0.164846
5.56,0.16575
5.57,0.166657
5.58,0.167566
5.59,0.168476
5.6,0.16939
5.61,0.170305
5.62,0.171962
5.63,0.172884
5.64,0.173808
5.65,0.174734
5.66,0.174915
5.67,0.175842
5.68,0.176772
5.69,0.177706
5.7,0.179394
5.71,0.179577
5.72,0.180515
5.73,0.181456
5.74,0.182398
5.75,0.183343
5.76,0.18429
5.77,0.185239
5.78,0.18696
5.79,0.187915
5.8,0.188871
5.81,0.189053
5.82,0.190012
5.83,0.190972
5.84,0.191935
5.85,0.192899
5.86,0.193865
5.87,0.194834
5.88,0.195803
5.89,0.197566
5.9,0.198542
5.91,0.198724
5.92,0.199702
5.93,0.200681
5.94,0.201661
5.95,0.203447
5.96,0.204433
5.97,0.204615
5.98,0.205603
5.99,0.206593
6,0.207584
6.01,0.209391
6.02,0.209572
6.03,0.210569
6.04,0.211567
6.05,0.213388
6.06,0.213568
6.07,0.214572
6.08,0.216402
6.09,0.216582
6.1,0.218419
6.11,0.2186
6.12,0.219611
6.13,0.220624
6.14,0.221638
6.15,0.222653
6.16,0.22367
6.17,0.22553
6.18,0.225709
6.19,0.227575
6.2,0.227753
6.21,0.229625
6.22,0.229804
6.23,0.230831
6.24,0.232712
6.25,0.23289
6.26,0.234776
6.27,0.234953
6.28,0.235988
6.29,0.237023
6.3,0.238921
6.31,0.239097
6.32,0.241001
6.33,0.242043
6.34,0.242219
6.35,0.24413
6.36,0.244306
6.37,0.246223
6.38,0.246397
6.39,0.247445
6.4,0.248494
6.41,0.249544
6.42,0.251474
6.43,0.251647
6.44,0.252701
6.45,0.253755
6.46,0.255694
6.47,0.255867
6.48,0.257811
6.49,0.258871
6.5,0.259042
6.51,0.260994
6.52,0.261164
6.53,0.26312
6.54,0.26329
6.55,0.264354
6.56,0.265419
6.57,0.266485
6.58,0.268452
6.59,0.26862
6.6,0.270591
6.61,0.270758
6.62,0.272733
6.63,0.272899
6.64,0.273971
6.65,0.275044
6.66,0.276117
6.67,0.278102
6.68,0.278266
6.69,0.279342
6.7,0.280418
6.71,0.281495
6.72,0.282573
6.73,0.284568
6.74,0.285649
6.75,0.285809
6.76,0.28781
6.77,0.28797
6.78,0.289974
6.79,0.290133
6.8,0.291216
6.81,0.292298
6.82,0.293382
6.83,0.295394
6.84,0.29555
6.85,0.296635
6.86,0.29772
6.87,0.299738
6.88,0.299892
6.89,0.301913
6.9,0.302065
6.91,0.303153
6.92,0.305178
6.93,0.305328
6.94,0.307356
6.95,0.307506
6.96,0.308595
6.97,0.309684
6.98,0.310774
6.99,0.312807
7,0.312954
7.01,0.314989
7.02,0.315135
7.03,0.317172
7.04,0.317316
7.05,0.319355
7.06,0.319499
7.07,0.320591
7.08,0.322632
7.09,0.322774
7.1,0.324817
7.11,0.324957
7.12,0.326049
7.13,0.327141
7.14,0.329188
7.15,0.33028
7.16,0.330418
7.17,0.332466
7.18,0.332602
7.19,0.334651
7.2,0.334786
7.21,0.336837
7.22,0.33697
7.23,0.338062
7.24,0.340114
7.25,0.340245
7.26,0.342298
7.27,0.342428
7.28,0.344482
7.29,0.34461
7.3,0.346665
7.31,0.346792
7.32,0.347883
7.33,0.349938
7.34,0.350063
7.35,0.352119
7.36,0.352243
7.37,0.353332
7.38,0.354421
7.39,0.35551
7.4,0.357567
7.41,0.357686
7.42,0.359744
7.43,0.359862
7.44,0.361919
7.45,0.362036
7.46,0.364093
7.47,0.364209
7.48,0.365294
7.49,0.367351
7.5,0.367464
7.51,0.369521
7.52,0.369633
7.53,0.370716
7.54,0.371799
7.55,0.373855
7.56,0.373963
7.57,0.376019
7.58,0.3771
7.59,0.377207
7.6,0.379261
7.61,0.379366
7.62,0.38142
7.63,0.381523
7.64,0.382601
7.65,0.384653
7.66,0.384754
7.67,0.386806
7.68,0.386905
7.69,0.388956
7.7,0.389054
7.71,0.391103
7.72,0.3912
7.73,0.393248
7.74,0.394319
7.75,0.394413
7.76,0.39646
7.77,0.396552
7.78,0.398597
7.79,0.398688
7.8,0.399755
7.81,0.40082
7.82,0.401886
7.83,0.403928
7.84,0.404014
7.85,0.406054
7.86,0.406139
7.87,0.408178
7.88,0.40826
7.89,0.409321
7.9,0.411356
7.91,0.411437
7.92,0.413471
7.93,0.41355
7.94,0.414605
7.95,0.41566
7.96,0.416713
7.97,0.417766
7.98,0.419793
7.99,0.420844
8,0.420918
8.01,0.422942
8.02,0.423014
8.03,0.425036
8.04,0.425106
8.05,0.426152
8.06,0.427195
8.07,0.428238
8.08,0.430255
8.09,0.430321
8.1,0.431361
8.11,0.432399
8.12,0.434411
8.13,0.434474
8.14,0.436483
8.15,0.437517
8.16,0.437578
8.17,0.439582
8.18,0.439641
8.19,0.441643
8.2,0.441701
8.21,0.442729
8.22,0.443755
8.23,0.444781
8.24,0.446776
8.25,0.446829
8.26,0.448821
8.27,0.448873
8.28,0.450862
8.29,0.450911
8.3,0.451929
8.31,0.452946
8.32,0.453961
8.33,0.455942
8.34,0.455988
8.35,0.457966
8.36,0.45801
8.37,0.45902
8.38,0.460028
8.39,0.461999
8.4,0.463004
8.41,0.463044
8.42,0.465011
8.43,0.465049
8.44,0.467012
8.45,0.467049
8.46,0.468047
8.47,0.469043
8.48,0.470039
8.49,0.471994
8.5,0.472026
8.51,0.473977
8.52,0.474008
8.53,0.475955
8.54,0.475984
8.55,0.477928
8.56,0.477956
8.57,0.47894
8.58,0.480878
8.59,0.480903
8.6,0.482837
8.61,0.482861
8.62,0.483838
8.63,0.484814
8.64,0.485788
8.65,0.487712
8.66,0.487732
8.67,0.489652
8.68,0.489671
8.69,0.491587
8.7,0.491604
8.71,0.493516
8.72,0.493532
8.73,0.494493
8.74,0.4964
8.75,0.496413
